ExerciseType,Start,End,Duration,MeanSpeed,MaxSpeed,Distance,Calories
1001,1567174020000,1567174729073,709073,2.109087458,1.7222222,1130.82,57.71
1001,1567600980000,1567601665816,685816,2.207606539,1.6944444,1144.82,57.86
1001,1567606645000,1567607372749,727749,2.134175735,1.6388888,1174.41,64.18
1001,1567633339000,1567634047959,708959,2.078143992,1.6666666,1114.05,56.559998
1001,1567641480000,1567642324491,844491,1.757167318,1.4722222,1122.06,58.47
1001,1567692840000,1567693652152,812152,2.037050027,1.6203336,1250.97,66.87
1001,1567699268000,1567700112367,844367,1.953660749,1.75,1247.35,66.05
1001,1567703612000,1567704485905,873905,2.005090097,1.5555556,1324.97,68.29
1001,1567709160000,1567709882306,722306,2.17512211,2,1187.99,62.09
1001,1567773817000,1567774538879,721879,2.12591851,1.6666666,1160.43,59.280003
1001,1567779511000,1567780368104,857104,2.03862326,1.6561667,1321.23,67.78
1001,1568033103000,1568033825205,722205,2.08399508,1.6111112,1138.0599,58.15
1001,1568038680000,1568039534500,854500,1.898425541,1.5833334,1226.63,63.61
1001,1568065560000,1568066248952,688952,2.031323386,1.8333334,1058.22,53.4
1001,1568074380000,1568075466512,1086512,1.655716013,1.5555556,1360.28,72.14
1001,1568124900000,1568125729223,829223,2.035383559,1.5833334,1276.22,66.61
1001,1568129732000,1568130530993,798993,2.072370138,1.6253334,1252.04,67.46
1001,1568135762000,1568136493297,731297,2.226394876,1.6666666,1231.13,63.12
1001,1568141640000,1568142433135,793135,2.016377409,1.5833334,1209.28,62.260002
1001,1568144644000,1568145313619,669619,1.864565855,1.6666666,944.09,48.920002
1001,1568205780000,1568206563649,783649,1.91691526,1.5,1135.88,60.78
1001,1568211560000,1568212669664,1109664,1.777331704,1.9722222,1491.31,76.82
1001,1568238060000,1568238762333,702333,1.973095518,1.6388888,1047.85,53.2
1001,1568245800000,1568246828280,1028280,1.620070968,1.5555556,1259.66,65.64
1001,1568297520000,1568298280650,760650,2.099221954,1.6944444,1207.4,64.23
1001,1568308380000,1568309241074,861074,1.977296669,1.6388888,1287.42,68
1001,1568314025000,1568314793831,768831,2.140099428,1.7222222,1244.15,64.21
1001,1568323980000,1568324685506,705506,1.98572251,1.6111112,1059.32,53.78
1001,1568379240000,1568379956081,716081,2.008626301,1.7255001,1087.6,54.84
1001,1568384495000,1568385280740,785740,1.977876183,1.6013334,1175.13,66.22
1001,1568396700000,1568397373665,673665,2.091278556,1.6222869,1065.28,54.510002
1001,1568565780000,1568566444649,664649,1.587128296,1.4722222,797.65,40.8
1001,1568637852000,1568638550687,698687,2.079641711,1.6111112,1098.7,57.69
1001,1568643510000,1568644251263,741263,2.030950708,1.5555556,1138.36,61.32
1001,1568670325000,1568671011834,686834,2.056919102,1.7222222,1068.26,54.53
1001,1568678880000,1568679826099,946099,1.626029971,1.5277778,1163.25,60.19
1001,1568729765000,1568730510918,745918,2.133395202,1.6666666,1203.29,62.09
1001,1568735224000,1568736131003,907003,1.899755568,1.6666666,1302.91,70.79
1001,1568751240000,1568751924538,684538,2.119632059,1.75,1097.15,56.63
1001,1568755161000,1568755835366,674366,2.149996142,2.0833333,1096.33,56.579998
1001,1568810649000,1568811369015,720015,2.097699373,1.75,1142.07,58.93
1001,1568816466000,1568817750924,1284924,1.773886753,1.4722222,1723.5,89.75
1001,1568842872000,1568843539891,667891,2.15662287,1.6944444,1089.15,57.34
1001,1568902440000,1568903188343,748343,2.147600056,1.7222222,1215.24,64.25
1001,1568907738000,1568908517155,779155,2.093648853,1.6111112,1233.49,67.35
1001,1568913308000,1568914036849,728849,2.236540086,1.7222222,1232.6,62.989998
1001,1568918760000,1568919563150,803150,1.90396267,1.6543334,1156.28,58.53
1001,1568928686000,1568929380000,694000,2.169625052,1.6388888,1138.55,57.26
1001,1568932881000,1568933589064,708064,2.152623266,1.6666666,1152.52,58.93
1001,1568983478000,1568984192120,714120,2.048846894,1.8611112,1106.34,58.76
1001,1568989260000,1568989970795,710795,2.157841675,1.75,1159.77,60.57
1001,1568990535000,1568991609949,1074949,1.939746842,1.6388888,1576.67,83.48
1001,1569009964000,1569010784285,820285,2.0314436,1.5833334,1260.02,68.7
1001,1569017760000,1569018510632,750632,1.941100674,1.5555556,1101.75,61.7
1001,1569072908000,1569075328555,2420555,1.887666035,1.5,3455,182.99
1001,1569192240000,1569192913584,673584,1.69019912,1.5,860.87,45.96
